학정번호,과목명,분반,이수,학점,시수,교수,요일,시간,요일,시간,비고
Z3A6C5,영어회화,,교선,3,3,마이클다우니,월,6,수,5,소규모강의
Z3B1D2,영어회화,,교선,3,3,켈리,화,1,목,2,소규모강의
Z3B2D1,영어회화,,교선,3,3,에이미,화,2,목,1,소규모강의
Z3B3D4,영어회화,,교선,3,3,브라질,화,3,목,4,소규모강의
Z3B4D3,영어회화,,교선,3,3,로렌,화,4,목,3,소규모강의
Z3B5D6,영어회화,,교선,3,3,브라질,화,5,목,6,소규모강의
Z3B4D3,영어회화,,교선,3,3,졸지,화,4,목,3,소규모강의
Z3E1E2,영어회화,,교선,3,3,제프리,금,1,금,2,소규모강의
Z3E3E4,영어회화,,교선,3,3,토미,금,3,금,4,소규모강의
Z3A6C5,기초영작문,,교선,3,3,김연정,월,6,수,5,
Z3E1E2,기초영작문,,교선,3,3,노진서,금,1,금,2,
Z3,대학영문법,,교선,3,3,김용범,,,,,온라인100
Z3B5D6,대학영문법,,교선,3,3,이일재,화,5,목,6,
Z3A4C3,생활영어번역,,교선,3,3,박경임,월,4,수,3,
Z3B2D1,영어듣기연습,,교선,3,3,켈리,화,2,목,1,
Z3A2C1,영어발음연습,,교선,3,3,켈리,월,2,수,1,
Z3B2D1,중급영어회화,,교선,3,3,졸지,화,2,목,1,
Z3A3C4,중급영어회화,,교선,3,3,마이클다우니,월,3,수,4,
Z3B5D6,중급영어회화,,교선,3,3,로렌,화,5,목,6,
Z3B3D4,중급영어회화,,교선,3,3,로렌,화,3,목,4,
Z3E3E4,중급영어회화,,교선,3,3,브라질,금,3,금,4,
Z3B1D2,시사토픽과토론,,교선,3,3,브라이언,화,1,목,2,
Z3E5E6,시사토픽과토론,,교선,3,3,마이클다우니,금,5,금,6,
Z3A7A8A9,영미문화읽기,,교선,3,3,노진서,월,7.8.9,,,
Z3A1C2,영미문화읽기,,교선,3,3,에이미,월,1,수,2,
Z3B6D5,영어프리젠테이션,,교선,3,3,브라질,화,6,목,5,
Z3E1E2,영어프리젠테이션,,교선,3,3,로라,금,1,금,2,
Z3A3C4,이공계영어글쓰기,,교선,3,3,제프리,월,3,수,4,
Z3A5C6,인문사회계영어글쓰기,,교선,3,3,토미,월,5,수,6,
Z3E3E4,고급영문독해,,교선,3,3,고현아,금,3,금,4,
Z3A4C3,비즈니스영어,,교선,3,3,제프리,월,4,수,3,
Z3E5E6,비즈니스영어,,교선,3,3,로렌,금,5,금,6,
Z3A3C4,취업영어와인터뷰,,교선,3,3,토미,월,3,수,4,
Z3A5C6,취업영어와인터뷰,,교선,3,3,로라,월,5,수,6,
Z3E3E4,취업영어와인터뷰,,교선,3,3,졸지,금,3,금,4,
Z3E1E2,글쓰기연습,외국인만_수강가능,교선,3,3,김도연,금,1,금,2,외국인전용
Z3E1E2,글쓰기연습,외국인만_수강가능,교선,3,3,박효정,금,1,금,2,외국인전용
Z3E1E2,글쓰기연습,외국인만_수강가능,교선,3,3,김선미,금,1,금,2,외국인전용
Z3E1E2,글쓰기연습,외국인만_수강가능,교선,3,3,이경수,금,1,금,2,외국인전용
Z3E3E4,글쓰기연습,외국인만_수강가능,교선,3,3,신승은,금,3,금,4,외국인전용
Z3E3E4,글쓰기연습,외국인만_수강가능,교선,3,3,강수정,금,3,금,4,외국인전용
Z3E3E4,글쓰기연습,외국인만_수강가능,교선,3,3,쩐반뜨,금,3,금,4,외국인전용
Z3E3E4,시사한국어,외국인만_수강가능,교선,3,3,정영호,금,3,금,4,외국인전용
Z3A1C2,한국어문법,외국인만_수강가능,교선,3,3,이주민,월,1,수,2,외국인전용
Z3A1C2,한국어문법,외국인만_수강가능,교선,3,3,이영진,월,1,수,2,외국인전용
Z3A1C2,한국어문법,외국인만_수강가능,교선,3,3,김지선,월,1,수,2,외국인전용
Z3A2C1,한국어문법,외국인만_수강가능,교선,3,3,이주민,월,2,수,1,외국인전용
Z3A2C1,한국어문법,외국인만_수강가능,교선,3,3,이영진,월,2,수,1,외국인전용
Z3B1D2,한국어텍스트읽기,외국인만_수강가능,교선,3,3,소열녕,화,1,목,2,외국인전용
Z3B1D2,한국어텍스트읽기,외국인만_수강가능,교선,3,3,김수미,화,1,목,2,외국인전용
Z3B1D2,한국어텍스트읽기,외국인만_수강가능,교선,3,3,강사(미정),화,1,목,2,외국인전용
Z3B2D1,한국어텍스트읽기,외국인만_수강가능,교선,3,3,쩐반뜨,화,2,목,1,외국인전용
Z3B2D1,한국어텍스트읽기,외국인만_수강가능,교선,3,3,김수미,화,2,목,1,외국인전용
Z3B5D6,한국어표현연습,외국인만_수강가능,교선,3,3,채상우,화,5,목,6,외국인전용
Z3A5C6,한국어표현연습,외국인만_수강가능,교선,3,3,장지영,월,5,수,6,외국인전용
Z3A3A4,논리적글쓰기,외국인만_수강가능,교선,3,3,신승은,월,3,월,4,외국인전용
Z3C3C4,논리적글쓰기,외국인만_수강가능,교선,3,3,강수정,수,3,수,4,외국인전용
Z3A3A4,논리적글쓰기,외국인만_수강가능,교선,3,3,김선미,월,3,월,4,외국인전용
Z3C3C4,논리적글쓰기,외국인만_수강가능,교선,3,3,김지선,수,3,수,4,외국인전용
Z3A3A4,논리적글쓰기,외국인만_수강가능,교선,3,3,김도연,월,3,월,4,외국인전용
Z3C3C4,논리적글쓰기,외국인만_수강가능,교선,3,3,박효정,수,3,수,4,외국인전용
Z3A3A4,논리적글쓰기,외국인만_수강가능,교선,3,3,쩐반뜨,월,3,월,4,외국인전용
Z3B3D4,한국어발표와토론,외국인만_수강가능,교선,3,3,소열녕,화,3,목,4,외국인전용
Z3B3D4,한국어발표와토론,외국인만_수강가능,교선,3,3,변성연,화,3,목,4,외국인전용
Z3B3D4,한국어발표와토론,외국인만_수강가능,교선,3,3,강사(미정),화,3,목,4,외국인전용
Z3B4D3,한국어발표와토론,외국인만_수강가능,교선,3,3,소열녕,화,4,목,3,외국인전용
Z3B4D3,한국어발표와토론,외국인만_수강가능,교선,3,3,변성연,화,4,목,3,외국인전용
Z3B4D3,한국어발표와토론,외국인만_수강가능,교선,3,3,이경수,화,4,목,3,외국인전용
Z3,상상과창조,,교선,3,3,한양대학교_김소현/이태희,,,,,온라인강의100
Z3,문화콘텐츠스토리텔링전략,,교선,3,3,한양대학교_송화,,,,,온라인강의100
Z3,문화기술과사회변동,,교선,3,3,한양대학교_두일철,,,,,온라인강의100
Z3,기업경영과비즈니스전략,,교선,3,3,한양대학교_박준용,,,,,온라인강의100
Z3,21세기기업의인재상,,교선,3,3,광운대학교_김정권,,,,,온라인강의100
Z3,생활속의계약과협상,,교선,3,3,광운대학교_심상렬,,,,,온라인강의100
Z3,정보사회학입문,,교선,3,3,한양대학교_윤영민,,,,,온라인강의100
Z2,저작권과스마트폰의이해,,교선,2,2,건국대학교_정연덕,,,,,온라인강의100
Z3,철학과인간가치,,교선,3,3,한양대학교_정연재,,,,,온라인강의100
Z3,행복한금융생활,,교선,3,3,광운대학교_송영출,,,,,온라인강의100
Z3,화폐와금융의과거.현재그리고미래,,교선,3,3,광운대학교_현정환,,,,,온라인강의100
Z3,모두의스타트업코딩,,교선,3,3,건국대학교_송용준,,,,,온라인강의100
Z3,음식과세계문화,,교선,3,3,덕성여자대학교_김건희,,,,,온라인강의100
Z3,그린IT의이해,,교선,3,3,한성대학교_조세홍/김일민,,,,,온라인강의100
Z3,고객관계관리전략,,교선,3,3,한성대학교_김형수,,,,,온라인강의100
Z3,글로벌시대의예술과가치,,교선,3,3,광운대학교_도승연,,,,,온라인강의100
Z3,웰니스와삶의질,,교선,3,3,세종대학교_김상국,,,,,온라인강의100
Z3,색채심리와현대생활,,교선,3,3,광운대학교_김문석,,,,,온라인강의100
Z3,성공하는문화콘텐츠소재개발전략,,교선,3,3,한양대학교_공정배,,,,,온라인강의100
Z3,전략적의사결정과문제해결,,교선,3,3,광운대학교_박종구,,,,,온라인강의100
Z3,채움과비움_나이듦의인문학적이해,,교선,3,3,한양대학교_윤성호,,,,,온라인강의100
Z3,현대사회와신소재,,교선,3,3,광운대학교_손희상,,,,,온라인강의100
Z2,취업리더십1_성공DNA,,교선,2,2,한양대학교_송영수/이태희,,,,,온라인강의100
Z3,긍정컴퓨팅을통한인간과인공지능의공존,,교선,3,3,광운대학교_김형국,,,,,온라인강의100
Z3,연애시의극장_보고듣고말하는한국의연애시,,교선,3,3,조영복,,,,,온라인100
Z3,연애시의극장_보고듣고말하는한국의연애시,외국인만_수강가능,교선,3,3,조영복,,,,,온라인100
Z3,한국영화사로보는가족,,교선,3,3,강성률,,,,,온라인100
Z3,한국영화사로보는가족,외국인만_수강가능,교선,3,3,강성률,,,,,온라인100
Z3,플라즈마와건강그리고생활문화,,교선,3,3,최은하,,,,,온라인100
Z3,플라즈마와건강그리고생활문화,외국인만_수강가능,교선,3,3,최은하,,,,,온라인100
Z3,수학사개론,,교선,3,3,허민,,,,,온라인100
Z3,수학사개론,외국인만_수강가능,교선,3,3,허민,,,,,온라인100
Z3,세계도시서울의인문사회학,,교선,3,3,김백영,,,,,온라인100
Z3,세계도시서울의인문사회학,외국인만_수강가능,교선,3,3,김백영,,,,,온라인100
Z2A7A8,교육과정,,교직,2,2,김효선,월,7,월,8,
Z2A1A2,교육방법및교육공학,,교직,2,2,김난희,월,1,월,2,
Z2E1E2,교육심리,,교직,2,2,김경령,금,1,금,2,
Z2E7E8,교육학개론,,교직,2,2,방재임,금,7,금,8,
Z2C5C6,특수교육학개론,,교직,2,2,부인앵,수,5,수,6,
Z2E5E6,평생교육론,,교직,2,2,방재임,금,5,금,6,
Z2C5C6,부모교육론,,교직,2,2,김성길,수,5,수,6,
Z2C3C4,교육실습,,교직,2,2,박경애,수,3,수,4,
Z2E3E4,교직실무,,교직,2,2,김경령,금,3,금,4,
Z2F1F2,교육봉사활동,,교직,2,2,최윤희,토,1,토,2,
Y3A5A6,교직논리및논술(공업),합반,전선,3,3,김효선,월,5,월,6,
Y3A5A6,교직논리및논술(상업정보),,전선,3,3,김효선,월,5,월,6,
Z3B1D1D2,안보학(군사학1-1),,무관,3,4,,화,1,목,1.2,
Z3B1D1D2,조직리더십(군사학2-1),,무관,3,4,,화,1,목,1.2,
